DIYABC :                   PRIOR CHECKING                         Mon Jan 25 18:35:24 2021

Data file                     : indseq_SNP_sim_dataset_4POP_001.snp
Reference table               : /tmp/RtmpmoxhQf/diyabc_rf71fe2dd8b4db/reftableRF.bin
Number of simulated data sets : 12000

Values indicate for each summary statistics the proportion 
of simulated data sets which have a value below the observed one
 Summary           observed    scenario   
statistics           value         1      
ML1p_1             (0.1498  )   0.2516         
ML1p_2             (0.1746  )   0.4085         
ML1p_3             (0.1244  )   0.1105         
ML1p_4             (0.1102  )   0.2611         
ML2p_1.2           (0.0362  )   0.3105         
ML2p_1.3           (0.0262  )   0.2790         
ML2p_1.4           (0.0332  )   0.1639         
ML2p_2.3           (0.0478  )   0.2049         
ML2p_2.4           (0.0318  )   0.3880         
ML2p_3.4           (0.0310  )   0.2311         
ML3p_1.2.3         (0.0048  )   0.4641         
ML3p_1.2.4         (0.0048  )   0.2683         
ML3p_1.3.4         (0.0078  )   0.2743         
ML3p_2.3.4         (0.0104  )   0.3520         
HWm_1              (0.2848  )   0.7313         
HWm_2              (0.2812  )   0.6922         
HWm_3              (0.2900  )   0.9320         
HWm_4              (0.2931  )   0.8587         
HWv_1              (0.0319  )   0.2808         
HWv_2              (0.0338  )   0.4663         
HWv_3              (0.0299  )   0.1230         
HWv_4              (0.0293  )   0.2847         
HBm_1.2            (0.3071  )   0.7076         
HBm_1.3            (0.3063  )   0.6046         
HBm_1.4            (0.3022  )   0.7507         
HBm_2.3            (0.3022  )   0.7942         
HBm_2.4            (0.3051  )   0.7357         
HBm_3.4            (0.3024  )   0.7895         
HBv_1.2            (0.0269  )   0.3339         
HBv_1.3            (0.0254  )   0.2034         
HBv_1.4            (0.0253  )   0.2391         
HBv_2.3            (0.0270  )   0.2881         
HBv_2.4            (0.0259  )   0.3263         
HBv_3.4            (0.0246  )   0.1741         
FST1m_1            (0.0639  )   0.3391         
FST1m_2            (0.0757  )   0.4216         
FST1m_3            (0.0468  )   0.2001         
FST1m_4            (0.0367  )   0.2969         
FST1v_1            (0.3448  )   0.2358         
FST1v_2            (0.3651  )   0.3853         
FST1v_3            (0.3235  )   0.0485 (*)     
FST1v_4            (0.3170  )   0.1788         
FST2m_1.2          (0.0786  )   0.3922         
FST2m_1.3          (0.0618  )   0.2060         
FST2m_1.4          (0.0439  )   0.3843         
FST2m_2.3          (0.0548  )   0.4225         
FST2m_2.4          (0.0588  )   0.3747         
FST2m_3.4          (0.0360  )   0.2945         
FST2v_1.2          (0.0143  )   0.3993         
FST2v_1.3          (0.0121  )   0.2311         
FST2v_1.4          (0.0095  )   0.3946         
FST2v_2.3          (0.0110  )   0.4250         
FST2v_2.4          (0.0113  )   0.3862         
FST2v_3.4          (0.0083  )   0.3068         
NEIm_1.2           (0.0489  )   0.4122         
NEIm_1.3           (0.0430  )   0.2306         
NEIm_1.4           (0.0361  )   0.4145         
NEIm_2.3           (0.0404  )   0.4940         
NEIm_2.4           (0.0417  )   0.4271         
NEIm_3.4           (0.0333  )   0.3471         
NEIv_1.2           (0.0071  )   0.4087         
NEIv_1.3           (0.0058  )   0.2493         
NEIv_1.4           (0.0041  )   0.3970         
NEIv_2.3           (0.0053  )   0.4843         
NEIv_2.4           (0.0051  )   0.3760         
NEIv_3.4           (0.0037  )   0.3422         
AMLm_1.2.3         (0.4614  )   0.2042         
AMLm_2.1.3         (0.4446  )   0.5266         
AMLm_3.1.2         (0.4844  )   0.7807         
AMLm_1.2.4         (0.4258  )   0.5176         
AMLm_2.1.4         (0.4592  )   0.5047         
AMLm_4.1.2         (0.5291  )   0.4961         
AMLm_1.3.4         (0.4546  )   0.7422         
AMLm_3.1.4         (0.4378  )   0.6491         
AMLm_4.1.3         (0.4867  )   0.4111         
AMLm_2.3.4         (0.5226  )   0.4600         
AMLm_3.2.4         (0.4645  )   0.3246         
AMLm_4.2.3         (0.4449  )   0.3343         
AMLv_1.2.3         (0.2001  )   0.3642         
