DIYABC :                   PRIOR CHECKING                         Wed Feb 10 09:14:58 2021

Data file                     : indseq_SNP_sim_dataset_4POP_001.snp
Reference table               : /tmp/RtmpFzHFy7/diyabc_rf70e55c8f34a4/reftableRF.bin
Number of simulated data sets : 12000

Values indicate for each summary statistics the proportion 
of simulated data sets which have a value below the observed one
 Summary           observed    scenario       scenario       scenario       scenario       scenario       scenario   
statistics           value         1              2              3              4              5              6      
ML1p_1             (0.1498  )   0.1475         0.2292         0.2547         0.3603         0.1364         0.1436         
ML1p_2             (0.1746  )   0.5386         0.4915         0.4031         0.4963         0.5790         0.4638         
ML1p_3             (0.1244  )   0.1710         0.1167         0.1188         0.1304         0.1675         0.2288         
ML1p_4             (0.1102  )   0.1777         0.1846         0.2547         0.0272 (*)     0.0747         0.1038         
ML2p_1.2           (0.0362  )   0.2745         0.4538         0.3156         0.3953         0.3982         0.1671         
ML2p_1.3           (0.0262  )   0.1372         0.2254         0.2830         0.2326         0.1427         0.2240         
ML2p_1.4           (0.0332  )   0.4730         0.1210         0.1731         0.0615         0.2543         0.3686         
ML2p_2.3           (0.0478  )   0.4161         0.1762         0.2106         0.1332         0.2996         0.4017         
ML2p_2.4           (0.0318  )   0.1326         0.2692         0.3745         0.3521         0.1186         0.1849         
ML2p_3.4           (0.0310  )   0.1027         0.3295         0.2268         0.3531         0.1555         0.0635         
ML3p_1.2.3         (0.0048  )   0.5111         0.3215         0.4578         0.1242         0.2909         0.4393         
ML3p_1.2.4         (0.0048  )   0.3154         0.2649         0.2710         0.2926         0.3024         0.4616         
ML3p_1.3.4         (0.0078  )   0.4820         0.5192         0.2682         0.4640         0.6133         0.2988         
ML3p_2.3.4         (0.0104  )   0.1259         0.2867         0.3476         0.4503         0.1199         0.1221         
HWm_1              (0.2848  )   0.8025         0.7556         0.7268         0.6814         0.8014         0.7947         
HWm_2              (0.2812  )   0.5536         0.6113         0.6965         0.6154         0.5291         0.6129         
HWm_3              (0.2900  )   0.8674         0.9256         0.9246         0.9170         0.8796         0.8331         
HWm_4              (0.2931  )   0.9091         0.8849         0.8526         0.9570 (*)     0.9453         0.9436         
HWv_1              (0.0319  )   0.1699         0.2610         0.2825         0.3761         0.1637         0.1571         
HWv_2              (0.0338  )   0.5922         0.5672         0.4507         0.5607         0.6505         0.5151         
HWv_3              (0.0299  )   0.1699         0.1290         0.1307         0.1389         0.1660         0.2170         
HWv_4              (0.0293  )   0.2078         0.2015         0.2838         0.0605         0.1128         0.1362         
