DIYABC :                   PRIOR CHECKING                         Mon Jan 25 18:12:32 2021

Data file                     : poolseq_SNP_sim_dataset_4POP_cov100_001.snp
Reference table               : /tmp/RtmpmoxhQf/diyabc_rf71fe3ed4a4ad/reftableRF.bin
Number of simulated data sets : 12000

Values indicate for each summary statistics the proportion 
of simulated data sets which have a value below the observed one
 Summary           observed    scenario   
statistics           value         1      
ML1p_1             (0.1826  )   0.1735         
ML1p_2             (0.2678  )   0.3737         
ML1p_3             (0.2208  )   0.1983         
ML1p_4             (0.1664  )   0.2972         
ML2p_1.2           (0.0746  )   0.2608         
ML2p_1.3           (0.0624  )   0.2439         
ML2p_1.4           (0.0680  )   0.1585         
ML2p_2.3           (0.1440  )   0.3203         
ML2p_2.4           (0.0866  )   0.4262         
ML2p_3.4           (0.1010  )   0.3413         
ML3p_1.2.3         (0.0214  )   0.4125         
ML3p_1.2.4         (0.0180  )   0.2355         
ML3p_1.3.4         (0.0330  )   0.2313         
ML3p_2.3.4         (0.0592  )   0.5523         
HWm_1              (0.2095  )   0.8366         
HWm_2              (0.1984  )   0.7698         
HWm_3              (0.2049  )   0.9064         
HWm_4              (0.2106  )   0.8921         
HWv_1              (0.0302  )   0.3295         
HWv_2              (0.0327  )   0.7406         
HWv_3              (0.0321  )   0.6240         
HWv_4              (0.0305  )   0.5639         
HBm_1.2            (0.2210  )   0.8249         
HBm_1.3            (0.2201  )   0.8049         
HBm_1.4            (0.2198  )   0.8575         
HBm_2.3            (0.2124  )   0.8085         
HBm_2.4            (0.2168  )   0.8201         
HBm_3.4            (0.2148  )   0.8621         
HBv_1.2            (0.0305  )   0.3231         
HBv_1.3            (0.0295  )   0.1595         
HBv_1.4            (0.0289  )   0.2655         
HBv_2.3            (0.0315  )   0.5593         
HBv_2.4            (0.0305  )   0.5131         
HBv_3.4            (0.0300  )   0.4345         
FST1m_1            (0.0366  )   0.1941         
FST1m_2            (0.0879  )   0.5923         
FST1m_3            (0.0580  )   0.3346         
FST1m_4            (0.0319  )   0.2745         
FST1v_1            (0.6380  )   0.1417         
FST1v_2            (0.6912  )   0.2031         
FST1v_3            (0.6784  )   0.1388         
FST1v_4            (0.6443  )   0.1452         
FST2m_1.2          (0.0773  )   0.4105         
FST2m_1.3          (0.0583  )   0.1930         
FST2m_1.4          (0.0444  )   0.4124         
FST2m_2.3          (0.0508  )   0.3990         
FST2m_2.4          (0.0568  )   0.3821         
FST2m_3.4          (0.0328  )   0.2760         
FST2v_1.2          (0.0066  )   0.4207         
FST2v_1.3          (0.0048  )   0.2183         
FST2v_1.4          (0.0035  )   0.4128         
FST2v_2.3          (0.0042  )   0.4309         
FST2v_2.4          (0.0048  )   0.4350         
FST2v_3.4          (0.0026  )   0.2925         
NEIm_1.2           (0.0253  )   0.4813         
NEIm_1.3           (0.0199  )   0.2282         
NEIm_1.4           (0.0163  )   0.4834         
NEIm_2.3           (0.0177  )   0.5022         
NEIm_2.4           (0.0194  )   0.4880         
NEIm_3.4           (0.0129  )   0.3413         
NEIv_1.2           (0.0030  )   0.4145         
NEIv_1.3           (0.0018  )   0.1904         
NEIv_1.4           (0.0012  )   0.3298         
NEIv_2.3           (0.0016  )   0.3779         
NEIv_2.4           (0.0020  )   0.4027         
NEIv_3.4           (0.0008  )   0.2772         
AMLm_1.2.3         (0.4620  )   0.1758         
AMLm_2.1.3         (0.4077  )   0.3742         
AMLm_3.1.2         (0.4414  )   0.5988         
AMLm_1.2.4         (0.4170  )   0.5443         
AMLm_2.1.4         (0.4441  )   0.4240         
AMLm_4.1.2         (0.5242  )   0.4113         
AMLm_1.3.4         (0.4379  )   0.7417         
AMLm_3.1.4         (0.4002  )   0.5758         
AMLm_4.1.3         (0.4568  )   0.3104         
AMLm_2.3.4         (0.5488  )   0.5558         
AMLm_3.2.4         (0.4775  )   0.4125         
AMLm_4.2.3         (0.4263  )   0.3455         
AMLv_1.2.3         (0.2049  )   0.3600         
AMLv_2.1.3         (0.1986  )   0.6188         
AMLv_3.1.2         (0.1882  )   0.3700         
AMLv_1.2.4         (0.1946  )   0.5120         
AMLv_2.1.4         (0.2103  )   0.5335         
AMLv_4.1.2         (0.1842  )   0.5596         
AMLv_1.3.4         (0.2034  )   0.6800         
AMLv_3.1.4         (0.1921  )   0.4475         
AMLv_4.1.3         (0.1819  )   0.6727         
AMLv_2.3.4         (0.2083  )   0.5838         
AMLv_3.2.4         (0.1915  )   0.3875         
AMLv_4.2.3         (0.1891  )   0.4211         
FST3m_1.2.3        (0.0623  )   0.2812         
FST3m_1.2.4        (0.0596  )   0.3548         
FST3m_1.3.4        (0.0453  )   0.2195         
FST3m_2.3.4        (0.0468  )   0.3048         
FST3v_1.2.3        (0.0034  )   0.2674         
FST3v_1.2.4        (0.0032  )   0.3300         
FST3v_1.3.4        (0.0023  )   0.2166         
FST3v_2.3.4        (0.0026  )   0.3247         
FST4m_1.2.3.4      (0.0535  )   0.2626         
FST4v_1.2.3.4      (0.0022  )   0.2462         
F3m_1.2.3          (0.0096  )   0.3790         
F3m_2.1.3          (0.0075  )   0.6897         
F3m_3.1.2          (0.0033  )   0.3235         
F3m_1.2.4          (0.0073  )   0.5069         
F3m_2.1.4          (0.0098  )   0.5064         
F3m_4.1.2          (0.0025  )   0.5655         
F3m_1.3.4          (0.0078  )   0.4143         
F3m_3.1.4          (0.0051  )   0.2178         
F3m_4.1.3          (0.0020  )   0.6824         
F3m_2.3.4          (0.0081  )   0.5904         
F3m_3.2.4          (0.0027  )   0.3776         
F3m_4.2.3          (0.0043  )   0.4468         
F3v_1.2.3          (0.0007  )   0.3042         
F3v_2.1.3          (0.0006  )   0.3954         
F3v_3.1.2          (0.0004  )   0.3738         
F3v_1.2.4          (0.0005  )   0.3782         
F3v_2.1.4          (0.0007  )   0.3603         
F3v_4.1.2          (0.0003  )   0.4180         
F3v_1.3.4          (0.0004  )   0.3483         
F3v_3.1.4          (0.0003  )   0.3390         
F3v_4.1.3          (0.0002  )   0.4340         
F3v_2.3.4          (0.0005  )   0.3843         
F3v_3.2.4          (0.0003  )   0.4060         
F3v_4.2.3          (0.0003  )   0.3884         
F4m_1.2.3.4        (-0.0023 )   0.6849         
F4m_1.3.2.4        (-0.0018 )   0.5674         
F4m_1.4.2.3        (0.0006  )   0.3338         
F4v_1.2.3.4        (0.0003  )   0.3929         
F4v_1.3.2.4        (0.0004  )   0.3624         
F4v_1.4.2.3        (0.0003  )   0.4385         
