DIYABC :                   PRIOR CHECKING                         Wed Feb 10 09:21:44 2021

Data file                     : poolseq_SNP_sim_dataset_4POP_cov100_001.snp
Reference table               : /tmp/RtmpFzHFy7/diyabc_rf70e5489d3ca2/reftableRF.bin
Number of simulated data sets : 12000

Values indicate for each summary statistics the proportion 
of simulated data sets which have a value below the observed one
 Summary           observed    scenario       scenario       scenario       scenario       scenario       scenario   
statistics           value         1              2              3              4              5              6      
ML1p_1             (0.1826  )   0.1251         0.1502         0.1609         0.2009         0.1287         0.1301         
ML1p_2             (0.2678  )   0.4553         0.4611         0.3568         0.4258         0.5034         0.4241         
ML1p_3             (0.2208  )   0.2406         0.2029         0.1852         0.2305         0.2492         0.2932         
ML1p_4             (0.1664  )   0.1668         0.2009         0.2924         0.0847         0.0869         0.0902         
ML2p_1.2           (0.0746  )   0.2550         0.3261         0.2336         0.2672         0.3324         0.2071         
ML2p_1.3           (0.0624  )   0.1758         0.1999         0.2381         0.1812         0.1812         0.2421         
ML2p_1.4           (0.0680  )   0.3786         0.1244         0.1639         0.0762         0.2210         0.2717         
ML2p_2.3           (0.1440  )   0.4667         0.2693         0.3031         0.2295         0.3640         0.4788         
ML2p_2.4           (0.0866  )   0.0976         0.2650         0.4218         0.3665         0.0901         0.1265         
ML2p_3.4           (0.1010  )   0.1529         0.4207         0.3208         0.4409         0.2093         0.0785         
ML3p_1.2.3         (0.0214  )   0.4451         0.2481         0.4075         0.1393         0.2729         0.4254         
ML3p_1.2.4         (0.0180  )   0.2465         0.2123         0.2456         0.2474         0.2203         0.3717         
ML3p_1.3.4         (0.0330  )   0.4610         0.5192         0.2244         0.4560         0.5860         0.2543         
ML3p_2.3.4         (0.0592  )   0.1346         0.4157         0.5362         0.5282         0.1374         0.1329         
HWm_1              (0.2095  )   0.8073         0.8523         0.8338         0.8655         0.7950         0.7906         
HWm_2              (0.1984  )   0.7130         0.7534         0.7861         0.7514         0.6914         0.6897         
HWm_3              (0.2049  )   0.8580         0.9031         0.9118         0.9037         0.8480         0.8295         
